,male,female
lupus,219009077,128657645
hiv/aids,427855772,269914208
prostate cancer,16462036,12901049
covid-19,23015,18175
takotsubo cardiomyopathy,331839,392898
multiple sclerosis,11646804,9983414
colon cancer,13040403,12468639
tuberculoses,366410773,109047584
bacterial pneumonia,117909962,76346709
endocarditis,3928628,3313420
syphilis,72393226,37041789
type 2 diabetes,10272499,10677293
multiple myeloma,2252735,2380420
essential hypertension,29539111,29861586
sarcoidoses,4186860,4572293
rheumatoid arthritis,13567357,13345799
hepatitis b,6770258,6887514
ulcerative colitis,3432050,3924984
crohnâ€™s disease,1628306,1672910
gastric cancer,7215370,5201107
chagas disease,864270,525012
ovarian cancer,6291158,8458058
